row ID,TruePositives,FalsePositives,TrueNegatives,FalseNegatives,Recall,Precision,Sensitivity,Specifity,F-measure,Accuracy,Cohen's kappa,,,
0,3966,1471,3536,1031,0.793676206,0.729446386,0.793676206,0.706211304,0.760207016,,,,,
1,2736,1656,4108,1504,0.645283019,0.62295082,0.645283019,0.712699514,0.633920297,,,,,
2,33,95,9427,449,0.06846473,0.2578125,0.06846473,0.990023104,0.108196721,,,,,
3,14,22,9777,191,0.068292683,0.388888889,0.068292683,0.997754873,0.116182573,,,,,
4,0,8,9959,37,0,0,0,0.999197351,NaN,,,,,
5,0,2,9980,22,0,0,0,0.999799639,NaN,,,,,
8,0,1,10001,2,0,0,0,0.99990002,NaN,,,,,
6,0,0,9990,14,0,,0,1,,,,,,
7,0,0,10001,3,0,,0,1,,,,,,
9,0,0,10002,2,0,,0,1,,,,,,
Overall,,,,,,,,,,0.674630148,0.399425992,,,90
0,3972,1466,3541,1025,0.794876926,0.730415594,0.794876926,0.707209906,0.76128414,,,,,
1,2738,1654,4110,1502,0.645754717,0.623406193,0.645754717,0.713046495,0.634383689,,,,,
2,34,96,9426,448,0.070539419,0.261538462,0.070539419,0.989918084,0.111111111,,,,,
3,13,19,9780,192,0.063414634,0.40625,0.063414634,0.998061027,0.109704641,,,,,
4,0,9,9958,37,0,0,0,0.99909702,NaN,,,,,
5,0,2,9980,22,0,0,0,0.999799639,NaN,,,,,
8,0,1,10001,2,0,0,0,0.99990002,NaN,,,,,
6,0,0,9990,14,0,,0,1,,,,,,
7,0,0,10001,3,0,,0,1,,,,,,
9,0,0,10002,2,0,,0,1,,,,,,
Overall,,,,,,,,,,0.675429828,0.400844838,,,100
0,3986,1469,3538,1011,0.797678607,0.730705775,0.797678607,0.706610745,0.762724837,,,,,
1,2739,1639,4125,1501,0.645990566,0.625628141,0.645990566,0.715648855,0.635646322,,,,,
2,35,93,9429,447,0.072614108,0.2734375,0.072614108,0.990233144,0.114754098,,,,,
3,14,20,9779,191,0.068292683,0.411764706,0.068292683,0.997958975,0.117154812,,,,,
4,0,6,9961,37,0,0,0,0.999398013,NaN,,,,,
5,0,2,9980,22,0,0,0,0.999799639,NaN,,,,,
8,0,1,10001,2,0,0,0,0.99990002,NaN,,,,,
6,0,0,9990,14,0,,0,1,,,,,,
7,0,0,10001,3,0,,0,1,,,,,,
9,0,0,10002,2,0,,0,1,,,,,,
Overall,,,,,,,,,,0.677129148,0.403707644,,,150
0,4020,1422,3585,977,0.80448269,0.738699008,0.80448269,0.715997603,0.770188715,,,,,
1,2795,1607,4157,1445,0.659198113,0.634938664,0.659198113,0.721200555,0.646841009,,,,,
2,31,83,9439,451,0.064315353,0.271929825,0.064315353,0.991283344,0.104026846,,,,,
3,15,22,9777,190,0.073170732,0.405405405,0.073170732,0.997754873,0.123966942,,,,,
4,0,5,9962,37,0,0,0,0.999498345,NaN,,,,,
5,0,3,9979,22,0,0,0,0.999699459,NaN,,,,,
8,0,1,10001,2,0,0,0,0.99990002,NaN,,,,,
6,0,0,9990,14,0,,0,1,,,,,,
7,0,0,10001,3,0,,0,1,,,,,,
9,0,0,10002,2,0,,0,1,,,,,,
Overall,,,,,,,,,,0.68582567,0.419440391,,,200
