0,5592,4932,2578,1904,0.745997866,0.531356899,0.745997866,0.343275632,0.620643729,,
1,2081,2226,6421,4278,0.327252713,0.483166938,0.327252713,0.742569677,0.390211888,,
2,17,105,14177,707,0.023480663,0.139344262,0.023480663,0.992648089,0.040189125,,
3,5,25,14673,303,0.016233766,0.166666667,0.016233766,0.998299088,0.029585799,,
5,1,22,14952,31,0.03125,0.043478261,0.03125,0.998530787,0.036363636,,
4,0,0,14950,56,0,,0,1,,,
6,0,0,14984,22,0,,0,1,,,
7,0,0,15003,3,0,,0,1,,,
8,0,0,15003,3,0,,0,1,,,
9,0,0,15003,3,0,,0,1,,,
Overall,,,,,,,,,,0.512861522,0.076694649
0,6091,5257,2253,1405,0.812566702,0.536746563,0.812566702,0.3,0.646465719,,
1,1826,1793,6854,4533,0.287152068,0.504559271,0.287152068,0.792644848,0.366005211,,
2,4,15,14267,720,0.005524862,0.210526316,0.005524862,0.998949727,0.01076716,,
3,2,10,14688,306,0.006493506,0.166666667,0.006493506,0.999319635,0.0125,,
5,1,7,14967,31,0.03125,0.125,0.03125,0.999532523,0.05,,
4,0,0,14950,56,0,,0,1,,,
6,0,0,14984,22,0,,0,1,,,
7,0,0,15003,3,0,,0,1,,,
8,0,0,15003,3,0,,0,1,,,
9,0,0,15003,3,0,,0,1,,,
Overall,,,,,,,,,,0.528055444,0.092343624
0,5847,4565,2945,1649,0.780016009,0.56156358,0.780016009,0.392143808,0.653004244,,
1,2405,2133,6514,3954,0.37820412,0.529969149,0.37820412,0.753324853,0.441405892,,
2,11,33,14249,713,0.01519337,0.25,0.01519337,0.997689399,0.028645833,,
3,1,6,14692,307,0.003246753,0.142857143,0.003246753,0.999591781,0.006349206,,
4,1,4,14946,55,0.017857143,0.2,0.017857143,0.999732441,0.032786885,,
5,0,0,14974,32,0,,0,1,,,
6,0,0,14984,22,0,,0,1,,,
7,0,0,15003,3,0,,0,1,,,
8,0,0,15003,3,0,,0,1,,,
9,0,0,15003,3,0,,0,1,,,
Overall,,,,,,,,,,0.550779688,0.144492286
0,6044,4590,2920,1452,0.806296692,0.56836562,0.806296692,0.388814913,0.66674021,,
1,2408,1920,6727,3951,0.378675892,0.556377079,0.378675892,0.777957673,0.450640966,,
2,7,17,14265,717,0.009668508,0.291666667,0.009668508,0.998809691,0.018716578,,
3,3,8,14690,305,0.00974026,0.272727273,0.00974026,0.999455708,0.018808777,,
4,3,6,14944,53,0.053571429,0.333333333,0.053571429,0.999598662,0.092307692,,
5,0,0,14974,32,0,,0,1,,,
6,0,0,14984,22,0,,0,1,,,
7,0,0,15003,3,0,,0,1,,,
8,0,0,15003,3,0,,0,1,,,
9,0,0,15003,3,0,,0,1,,,
Overall,,,,,,,,,,0.56410769,0.167652161
0,6385,4668,2842,1111,0.85178762,0.57767122,0.85178762,0.378428762,0.688446817,,
1,2313,1580,7067,4046,0.363736437,0.594143334,0.363736437,0.817277669,0.451229028,,
2,26,29,14253,698,0.035911602,0.472727273,0.035911602,0.997969472,0.066752246,,
3,1,4,14694,307,0.003246753,0.2,0.003246753,0.999727854,0.006389776,,
4,0,0,14950,56,0,,0,1,,,
5,0,0,14974,32,0,,0,1,,,
6,0,0,14984,22,0,,0,1,,,
7,0,0,15003,3,0,,0,1,,,
8,0,0,15003,3,0,,0,1,,,
9,0,0,15003,3,0,,0,1,,,
Overall,,,,,,,,,,0.581434093,0.198052875
0,6471,4353,3157,1025,0.863260406,0.597838137,0.863260406,0.420372836,0.706441048,,
1,2581,1515,7132,3778,0.405881428,0.630126953,0.405881428,0.824794726,0.493735055,,
2,30,39,14243,694,0.041436464,0.434782609,0.041436464,0.99726929,0.075662043,,
3,5,3,14695,303,0.016233766,0.625,0.016233766,0.999795891,0.03164557,,
4,2,4,14946,54,0.035714286,0.333333333,0.035714286,0.999732441,0.064516129,,
5,1,2,14972,31,0.03125,0.333333333,0.03125,0.999866435,0.057142857,,
6,0,0,14984,22,0,,0,1,,,
7,0,0,15003,3,0,,0,1,,,
8,0,0,15003,3,0,,0,1,,,
9,0,0,15003,3,0,,0,1,,,
Overall,,,,,,,,,,0.605757697,0.247308181
0,6649,3929,3581,847,0.887006403,0.628568728,0.887006403,0.476830892,0.735753015,,
1,2957,1364,7283,3402,0.465010222,0.68433233,0.465010222,0.84225743,0.553745318,,
2,61,27,14255,663,0.084254144,0.693181818,0.084254144,0.998109508,0.150246305,,
3,13,6,14692,295,0.042207792,0.684210526,0.042207792,0.999591781,0.079510703,,
4,0,0,14950,56,0,,0,1,,,
5,0,0,14974,32,0,,0,1,,,
6,0,0,14984,22,0,,0,1,,,
7,0,0,15003,3,0,,0,1,,,
8,0,0,15003,3,0,,0,1,,,
9,0,0,15003,3,0,,0,1,,,
Overall,,,,,,,,,,0.645075303,0.324644347
0,6705,3500,4010,791,0.894477054,0.657030867,0.894477054,0.533954727,0.757584317,,
1,3306,1360,7287,3053,0.519893065,0.70852979,0.519893065,0.842720019,0.599727891,,
2,68,36,14246,656,0.093922652,0.653846154,0.093922652,0.997479345,0.164251208,,
3,12,4,14694,296,0.038961039,0.75,0.038961039,0.999727854,0.074074074,,
4,7,4,14946,49,0.125,0.636363636,0.125,0.999732441,0.208955224,,
5,4,0,14974,28,0.125,1,0.125,1,0.222222222,,
6,0,0,14984,22,0,,0,1,,,
7,0,0,15003,3,0,,0,1,,,
8,0,0,15003,3,0,,0,1,,,
9,0,0,15003,3,0,,0,1,,,
Overall,,,,,,,,,,0.673197388,0.381244233
0,6931,3487,4023,565,0.924626467,0.665290843,0.924626467,0.535685752,0.773808195,,
1,3354,1111,7536,3005,0.527441422,0.751175812,0.527441422,0.871516133,0.619733925,,
2,69,31,14251,655,0.095303867,0.69,0.095303867,0.997829436,0.167475728,,
3,15,4,14694,293,0.048701299,0.789473684,0.048701299,0.999727854,0.091743119,,
4,3,0,14950,53,0.053571429,1,0.053571429,1,0.101694915,,
5,1,0,14974,31,0.03125,1,0.03125,1,0.060606061,,
6,0,0,14984,22,0,,0,1,,,
7,0,0,15003,3,0,,0,1,,,
8,0,0,15003,3,0,,0,1,,,
9,0,0,15003,3,0,,0,1,,,
Overall,,,,,,,,,,0.691256831,0.413880118
0,6917,3209,4301,579,0.922758805,0.683093028,0.922758805,0.572703063,0.785041425,,
1,3595,1157,7490,2764,0.565340462,0.756523569,0.565340462,0.866196369,0.647106471,,
2,80,13,14269,644,0.110497238,0.860215054,0.110497238,0.999089763,0.195838433,,
3,22,4,14694,286,0.071428571,0.846153846,0.071428571,0.999727854,0.131736527,,
4,6,1,14949,50,0.107142857,0.857142857,0.107142857,0.99993311,0.19047619,,
5,2,0,14974,30,0.0625,1,0.0625,1,0.117647059,,
6,0,0,14984,22,0,,0,1,,,
7,0,0,15003,3,0,,0,1,,,
8,0,0,15003,3,0,,0,1,,,
9,0,0,15003,3,0,,0,1,,,
Overall,,,,,,,,,,0.707850193,0.447089242
