"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"win",26155,11394,2456,529,0.9801753859991006,0.6965564995073105,0.9801753859991006,0.17732851985559567,0.8143789018105958,,
"loss",2205,780,29773,7776,0.22091974752028856,0.7386934673366834,0.22091974752028856,0.9744705920858835,0.34012031466913467,,
"draw",0,0,36665,3869,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.6996595450732718,0.19270772966517347
"win",24398,5305,8545,2286,0.9143306850547145,0.8213985119348214,0.9143306850547145,0.6169675090252708,0.8653767712415982,,
"loss",7125,3706,26847,2856,0.7138563270213405,0.6578339950143107,0.7138563270213405,0.8787025823978005,0.6847011339611763,,
"draw",0,0,36665,3869,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.777692801105245,0.5079497831900459
"win",25068,4698,9152,1616,0.9394393644131315,0.8421689175569441,0.9394393644131315,0.6607942238267148,0.8881488042515501,,
"draw",50,47,36618,3819,0.012923235978288964,0.5154639175257731,0.012923235978288964,0.9987181235510705,0.02521432173474534,,
"loss",7584,3087,27466,2397,0.759843703035768,0.7107112735451223,0.759843703035768,0.8989624586783622,0.7344567112144103,,
"Overall",,,,,,,,,,0.8067794937583264,0.5720648191952249
"win",24714,4155,9695,1970,0.9261729875580872,0.8560739894003949,0.9261729875580872,0.7,0.8897449282667003,,
"draw",274,324,36341,3595,0.07081933316102353,0.45819397993311034,0.07081933316102353,0.991163234692486,0.12267741213342287,,
"loss",7800,3267,27286,2181,0.7814848211602043,0.7047980482515587,0.7814848211602043,0.8930710568520276,0.7411630558722918,,
"Overall",,,,,,,,,,0.8089011693886614,0.5868141474131834
