row ID,TruePositives,FalsePositives,TrueNegatives,FalseNegatives,Recall,Precision,Sensitivity,Specifity,F-measure,Accuracy,Cohen's kappa,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.56337465,0.175537332,,9
0,3767,2583,2424,1230,0.753852311,0.593228346,0.753852311,0.484122229,0.663964043,,,,
1,1929,1703,4061,2311,0.45495283,0.531112335,0.45495283,0.704545455,0.490091463,,,,
2,5,14,9508,477,0.010373444,0.263157895,0.010373444,0.998529721,0.01996008,,,,
3,1,2,9797,204,0.004878049,0.333333333,0.004878049,0.999795898,0.009615385,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.569972011,0.187050952,,10
0,3753,2584,2423,1244,0.75105063,0.592236074,0.75105063,0.483922508,0.662255161,,,,
1,1919,1730,4034,2321,0.45259434,0.525897506,0.45259434,0.699861207,0.48650019,,,,
2,4,12,9510,478,0.008298755,0.25,0.008298755,0.998739761,0.016064257,,,,
3,1,1,9798,204,0.004878049,0.5,0.004878049,0.999897949,0.009661836,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.567473011,0.182242237,,11
0,3805,2581,2426,1192,0.761456874,0.595834638,0.761456874,0.48452167,0.668540806,,,,
1,1926,1675,4089,2314,0.454245283,0.53485143,0.454245283,0.709403192,0.491263869,,,,
2,3,12,9510,479,0.006224066,0.2,0.006224066,0.998739761,0.012072435,,,,
3,1,1,9798,204,0.004878049,0.5,0.004878049,0.999897949,0.009661836,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.573270692,0.192580519,,12
0,3788,2585,2422,1209,0.758054833,0.594382551,0.758054833,0.483722788,0.666314864,,,,
1,1930,1688,4076,2310,0.455188679,0.533443892,0.455188679,0.707147814,0.49121914,,,,
2,3,8,9514,479,0.006224066,0.272727273,0.006224066,0.99915984,0.012170385,,,,
3,1,1,9798,204,0.004878049,0.5,0.004878049,0.999897949,0.009661836,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.571971212,0.190042267,,13
0,3821,2616,2391,1176,0.764658795,0.593599503,0.764658795,0.477531456,0.66835753,,,,
1,1904,1651,4113,2336,0.449056604,0.535583685,0.449056604,0.713566967,0.488518281,,,,
2,3,7,9515,479,0.006224066,0.3,0.006224066,0.99926486,0.012195122,,,,
3,1,1,9798,204,0.004878049,0.5,0.004878049,0.999897949,0.009661836,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.572670932,0.190567352,,14
0,3815,2620,2387,1182,0.763458075,0.592851593,0.763458075,0.476732574,0.667424773,,,,
1,1901,1658,4106,2339,0.448349057,0.534138803,0.448349057,0.712352533,0.487498397,,,,
2,2,6,9516,480,0.004149378,0.25,0.004149378,0.99936988,0.008163265,,,,
3,1,1,9798,204,0.004878049,0.5,0.004878049,0.999897949,0.009661836,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.571671331,0.188581768,,15
0,3839,2630,2377,1158,0.768260957,0.593445664,0.768260957,0.47473537,0.669631955,,,,
1,1890,1636,4128,2350,0.445754717,0.536018151,0.445754717,0.716169327,0.486737059,,,,
2,2,5,9517,480,0.004149378,0.285714286,0.004149378,0.9994749,0.008179959,,,,
3,1,1,9798,204,0.004878049,0.5,0.004878049,0.999897949,0.009661836,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.572970812,0.190591571,,16
0,3830,2637,2370,1167,0.766459876,0.592237514,0.766459876,0.473337328,0.668178646,,,,
1,1887,1644,4120,2353,0.44504717,0.534409516,0.44504717,0.714781402,0.485651782,,,,
2,1,5,9517,481,0.002074689,0.166666667,0.002074689,0.9994749,0.004098361,,,,
3,0,0,9799,205,0,,0,1,,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.571571371,0.187780357,,17
0,3855,2641,2366,1142,0.771462878,0.593442118,0.771462878,0.472538446,0.670843122,,,,
1,1879,1624,4140,2361,0.443160377,0.536397374,0.443160377,0.718251214,0.485341599,,,,
2,1,4,9518,481,0.002074689,0.2,0.002074689,0.99957992,0.004106776,,,,
3,0,0,9799,205,0,,0,1,,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.573270692,0.190607738,,18
0,3862,2650,2357,1135,0.772863718,0.593058968,0.772863718,0.470740963,0.671126944,,,,
1,1865,1622,4142,2375,0.439858491,0.534843705,0.439858491,0.718598196,0.48272292,,,,
2,1,4,9518,481,0.002074689,0.2,0.002074689,0.99957992,0.004106776,,,,
3,0,0,9799,205,0,,0,1,,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.572570972,0.189094413,,19
0,3870,2650,2357,1127,0.774464679,0.593558282,0.774464679,0.470740963,0.672050013,,,,
